effective_date,symbol
2008-10-31,SBIN.NS
2008-10-31,SIEMENS.NS
2008-10-31,STER.NS
2008-10-31,SUNPHARMA.NS
2008-10-31,SUZLON.NS
2008-10-31,TATACOMM.NS
2008-10-31,TATAMOTORS.NS
2008-10-31,TATAPOWER.NS
2008-10-31,TATASTEEL.NS
2008-10-31,TCS.NS
2008-10-31,UNITECH.NS
2008-10-31,WIPRO.NS
2008-10-31,ZEEL.NS
2008-11-30,ABB.NS
2008-11-30,ACC.NS
2008-11-30,AMBUJACEM.NS
2008-11-30,BHARTIARTL.NS
2008-11-30,BHEL.NS
2008-11-30,BPCL.NS
2008-11-30,CAIRN.NS
2008-11-30,CIPLA.NS
2008-11-30,DLF.NS
2008-11-30,GAIL.NS
2008-11-30,GRASIM.NS
2008-11-30,HCLTECH.NS
2008-11-30,HDFC.NS
2008-11-30,HDFCBANK.NS
2008-11-30,HEROMOTOCO.NS
2008-11-30,HINDALCO.NS
2008-11-30,HINDUNILVR.NS
2008-11-30,ICICIBANK.NS
2008-11-30,IDEA.NS
2008-11-30,INFY.NS
2008-11-30,ITC.NS
2008-11-30,LT.NS
2008-11-30,M&M.NS
2008-11-30,MARUTI.NS
2008-11-30,NATIONALUM.NS
2008-11-30,NTPC.NS
2008-11-30,ONGC.NS
2008-11-30,PNB.NS
2008-11-30,POWERGRID.NS
2008-11-30,RANBAXY.NS
2008-11-30,RCOM.NS
2008-11-30,RELIANCE.NS
2008-11-30,RELINFRA.NS
2008-11-30,RPL.NS
2008-11-30,RPOWER.NS
2008-11-30,SAIL.NS
2008-11-30,SATYAMCOMP.NS
2008-11-30,SBIN.NS
2008-11-30,SIEMENS.NS
2008-11-30,STER.NS
2008-11-30,SUNPHARMA.NS
2008-11-30,SUZLON.NS
2008-11-30,TATACOMM.NS
2008-11-30,TATAMOTORS.NS
2008-11-30,TATAPOWER.NS
2008-11-30,TATASTEEL.NS
2008-11-30,TCS.NS
2008-11-30,UNITECH.NS
2008-11-30,WIPRO.NS
2008-11-30,ZEEL.NS
2008-12-31,ABB.NS
2008-12-31,ACC.NS
2008-12-31,AMBUJACEM.NS
2008-12-31,BHARTIARTL.NS
2008-12-31,BHEL.NS
2008-12-31,BPCL.NS
2008-12-31,CAIRN.NS
2008-12-31,CIPLA.NS
2008-12-31,DLF.NS
2008-12-31,GAIL.NS
2008-12-31,GRASIM.NS
2008-12-31,HCLTECH.NS
2008-12-31,HDFC.NS
2008-12-31,HDFCBANK.NS
2008-12-31,HEROMOTOCO.NS
2008-12-31,HINDALCO.NS
2008-12-31,HINDUNILVR.NS
2008-12-31,ICICIBANK.NS
2008-12-31,IDEA.NS
2008-12-31,INFY.NS
2008-12-31,ITC.NS
2008-12-31,LT.NS
2008-12-31,M&M.NS
2008-12-31,MARUTI.NS
2008-12-31,NATIONALUM.NS
2008-12-31,NTPC.NS
2008-12-31,ONGC.NS
2008-12-31,PNB.NS
2008-12-31,POWERGRID.NS
2008-12-31,RANBAXY.NS
2008-12-31,RCOM.NS
2008-12-31,RELIANCE.NS
2008-12-31,RELINFRA.NS
2008-12-31,RPL.NS
2008-12-31,RPOWER.NS
2008-12-31,SAIL.NS
2008-12-31,SATYAMCOMP.NS
2008-12-31,SBIN.NS
2008-12-31,SIEMENS.NS
2008-12-31,STER.NS
2008-12-31,SUNPHARMA.NS
2008-12-31,SUZLON.NS
2008-12-31,TATACOMM.NS
2008-12-31,TATAMOTORS.NS
2008-12-31,TATAPOWER.NS
2008-12-31,TATASTEEL.NS
2008-12-31,TCS.NS
2008-12-31,UNITECH.NS
2008-12-31,WIPRO.NS
2008-12-31,ZEEL.NS
2009-01-12,ABB.NS
2009-01-12,ACC.NS
2009-01-12,AMBUJACEM.NS
2009-01-12,BHARTIARTL.NS
2009-01-12,BHEL.NS
2009-01-12,BPCL.NS
2009-01-12,CAIRN.NS
2009-01-12,CIPLA.NS
2009-01-12,DLF.NS
2009-01-12,GAIL.NS
2009-01-12,GRASIM.NS
2009-01-12,HCLTECH.NS
2009-01-12,HDFC.NS
2009-01-12,HDFCBANK.NS
2009-01-12,HEROMOTOCO.NS
2009-01-12,HINDALCO.NS
2009-01-12,HINDUNILVR.NS
2009-01-12,ICICIBANK.NS
2009-01-12,IDEA.NS
2009-01-12,INFY.NS
2009-01-12,ITC.NS
2009-01-12,LT.NS
2009-01-12,M&M.NS
2009-01-12,MARUTI.NS
2009-01-12,NATIONALUM.NS
2009-01-12,NTPC.NS
2009-01-12,ONGC.NS
2009-01-12,PNB.NS
2009-01-12,POWERGRID.NS
2009-01-12,RANBAXY.NS
2009-01-12,RCOM.NS
2009-01-12,RELCAPITAL.NS
2009-01-12,RELIANCE.NS
2009-01-12,RELINFRA.NS
2009-01-12,RPL.NS
2009-01-12,RPOWER.NS
2009-01-12,SAIL.NS
2009-01-12,SBIN.NS
2009-01-12,SIEMENS.NS
2009-01-12,STER.NS
2009-01-12,SUNPHARMA.NS
2009-01-12,SUZLON.NS
2009-01-12,TATACOMM.NS
2009-01-12,TATAMOTORS.NS
2009-01-12,TATAPOWER.NS
2009-01-12,TATASTEEL.NS
2009-01-12,TCS.NS
2009-01-12,UNITECH.NS
2009-01-12,WIPRO.NS
2009-01-12,ZEEL.NS
2009-01-31,ABB.NS
2009-01-31,ACC.NS
2009-01-31,AMBUJACEM.NS
2009-01-31,BHARTIARTL.NS
2009-01-31,BHEL.NS
2009-01-31,BPCL.NS
2009-01-31,CAIRN.NS
2009-01-31,CIPLA.NS
2009-01-31,DLF.NS
2009-01-31,GAIL.NS
2009-01-31,GRASIM.NS
2009-01-31,HCLTECH.NS
2009-01-31,HDFC.NS
2009-01-31,HDFCBANK.NS
2009-01-31,HEROMOTOCO.NS
2009-01-31,HINDALCO.NS
2009-01-31,HINDUNILVR.NS
2009-01-31,ICICIBANK.NS
2009-01-31,IDEA.NS
2009-01-31,INFY.NS
2009-01-31,ITC.NS
2009-01-31,LT.NS
2009-01-31,M&M.NS
2009-01-31,MARUTI.NS
2009-01-31,NATIONALUM.NS
2009-01-31,NTPC.NS
2009-01-31,ONGC.NS
2009-01-31,PNB.NS
2009-01-31,POWERGRID.NS
2009-01-31,RANBAXY.NS
2009-01-31,RCOM.NS
2009-01-31,RELCAPITAL.NS
2009-01-31,RELIANCE.NS
2009-01-31,RELINFRA.NS
2009-01-31,RPL.NS
2009-01-31,RPOWER.NS
2009-01-31,SAIL.NS
2009-01-31,SBIN.NS
2009-01-31,SIEMENS.NS
2009-01-31,STER.NS
2009-01-31,SUNPHARMA.NS
